BTCUSDT +0,Ci05_2,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:04
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,BaseExitLevel,MaxHoldingBars,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,200,20,361,332,52.09%,2935681157,26.98%,10882.4877
END

BTCUSDT +0,Ci05,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:18
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
25,9,26,52,50,200,145,72,66.82%,233756513,16.73%,1397.1267
25,9,26,52,75,150,179,101,63.93%,562391555,13.59%,4138.1894
25,9,26,52,75,175,182,92,66.42%,607010619,17.44%,3479.8561
25,9,26,52,75,200,174,91,65.66%,594275231,17.44%,3406.8470
25,9,26,52,100,150,184,120,60.53%,469327062,12.53%,3746.2808
25,9,26,52,100,175,186,107,63.48%,555976295,17.44%,3187.2877
25,9,26,52,100,200,176,104,62.86%,474765927,17.44%,2721.7268
END

BTCUSDT +0,Ci0501,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 14:14:40
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
1,9,26,52,50,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,50,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,50,200,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,75,200,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,150,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,175,0,0,0.00%,1000000,0.00%,0
1,9,26,52,100,200,0,0,0.00%,1000000,0.00%,0
2,9,26,52,50,150,292,176,62.39%,268552774431,18.80%,1428838.1514
2,9,26,52,50,175,292,176,62.39%,268552774431,18.80%,1428838.1514
2,9,26,52,50,200,292,176,62.39%,268552774431,18.80%,1428838.1514
2,9,26,52,75,150,0,0,0.00%,1000000,0.00%,0
2,9,26,52,75,175,0,0,0.00%,1000000,0.00%,0
2,9,26,52,75,200,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,150,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,175,0,0,0.00%,1000000,0.00%,0
2,9,26,52,100,200,0,0,0.00%,1000000,0.00%,0
3,9,26,52,50,150,263,155,62.92%,384841291769,15.27%,2521056.3429
3,9,26,52,50,175,263,155,62.92%,384841291769,15.27%,2521056.3429
3,9,26,52,50,200,263,155,62.92%,384841291769,15.27%,2521056.3429
3,9,26,52,75,150,264,158,62.56%,373134101371,17.39%,2145821.5344
3,9,26,52,75,175,264,158,62.56%,373134101371,17.39%,2145821.5344
3,9,26,52,75,200,264,158,62.56%,373134101371,17.39%,2145821.5344
